PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27
Par,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 13:41,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Jens,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 13:41,48,16,5,6,3,4,4,5,4,6,6,5,,,,,,,,,,,,,,,,,
Nina,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 13:41,54,22,4,9,4,4,7,7,5,6,4,4,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 13:41,40,8,3,7,3,4,4,4,3,5,3,4,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 15:08,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 15:08,42,10,4,4,4,4,4,5,4,3,6,4,,,,,,,,,,,,,,,,,
Jens,Bochum Volkspark Langendreer ,NORMAL,2020-05-22 15:08,45,13,4,5,4,5,4,4,4,6,4,5,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-05-26 17:51,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-05-26 17:51,39,7,3,5,4,4,4,5,3,5,3,3,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-08-21 14:56,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-08-21 14:56,41,9,5,5,5,4,4,4,3,4,4,3,,,,,,,,,,,,,,,,,
Maren,Bochum Volkspark Langendreer ,NORMAL,2020-08-21 14:56,50,18,4,7,4,4,4,6,5,6,4,6,,,,,,,,,,,,,,,,,
Adham,Bochum Volkspark Langendreer ,NORMAL,2020-08-21 14:56,35,3,2,4,4,3,3,5,3,4,4,3,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-08-25 17:15,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-08-25 17:15,39,7,5,5,5,4,3,4,3,4,3,3,,,,,,,,,,,,,,,,,
Olaf,Bochum Volkspark Langendreer ,NORMAL,2020-08-25 17:15,46,14,5,6,5,4,4,8,3,5,3,3,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-09-09 16:08,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-09-09 16:08,39,7,4,3,3,4,4,6,4,6,2,3,,,,,,,,,,,,,,,,,
Olaf,Bochum Volkspark Langendreer ,NORMAL,2020-09-09 16:08,50,18,5,4,4,7,5,7,4,6,4,4,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-09-10 15:19,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-09-10 15:19,44,12,4,5,3,4,5,8,3,4,4,4,,,,,,,,,,,,,,,,,
Olaf,Bochum Volkspark Langendreer ,NORMAL,2020-09-10 15:19,45,13,4,5,5,3,4,5,6,6,3,4,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-09-14 19:14,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-09-14 19:14,37,5,4,3,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-09-18 18:22,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-09-18 18:22,37,5,6,5,3,3,3,4,3,4,3,3,,,,,,,,,,,,,,,,,
Rocker Jens,Bochum Volkspark Langendreer ,NORMAL,2020-09-18 18:22,44,12,4,6,4,3,4,7,3,5,3,5,,,,,,,,,,,,,,,,,
Par,Bochum Volkspark Langendreer ,NORMAL,2020-10-02 18:44,32,,3,4,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,
Julian,Bochum Volkspark Langendreer ,NORMAL,2020-10-02 18:44,25,5,3,6,3,3,4,6,0,0,0,0,,,,,,,,,,,,,,,,,
Rocker Jens,Bochum Volkspark Langendreer ,NORMAL,2020-10-02 18:44,26,6,4,5,3,4,5,5,0,0,0,0,,,,,,,,,,,,,,,,,
Domi Bochum,Bochum Volkspark Langendreer ,NORMAL,2020-10-02 18:44,28,8,4,5,4,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,
Micha Bochum,Bochum Volkspark Langendreer ,NORMAL,2020-10-02 18:44,24,4,3,5,4,3,5,4,0,0,0,0,,,,,,,,,,,,,,,,,
